NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_NFAT_PATHWAY	51	39		
BIOCARTA_NTHI_PATHWAY	23	22		
BIOCARTA_NFKB_PATHWAY	21	21		
BIOCARTA_NOS1_PATHWAY	21	15		
BIOCARTA_NO2IL12_PATHWAY	15		Rejected!	
BIOCARTA_ARENRF2_PATHWAY	20	19		
BIOCARTA_P38MAPK_PATHWAY	36	36		
BIOCARTA_P53_PATHWAY	16	16		
BIOCARTA_PDGF_PATHWAY	28	28		
BIOCARTA_CCR5_PATHWAY	17	16		
BIOCARTA_PTDINS_PATHWAY	23	23		
BIOCARTA_PLCE_PATHWAY	11		Rejected!	
BIOCARTA_EDG1_PATHWAY	22	20		
BIOCARTA_CDK5_PATHWAY	13		Rejected!	
BIOCARTA_MYOSIN_PATHWAY	11		Rejected!	
BIOCARTA_PLATELETAPP_PATHWAY	14		Rejected!	
BIOCARTA_PS1_PATHWAY	14		Rejected!	
BIOCARTA_AKAPCENTROSOME_PATHWAY	14		Rejected!	
BIOCARTA_PTEN_PATHWAY	18	18		
BIOCARTA_RAB_PATHWAY	13		Rejected!	
BIOCARTA_RAC1_PATHWAY	21	20		
BIOCARTA_RAS_PATHWAY	22	22		
BIOCARTA_NKCELLS_PATHWAY	20	17		
BIOCARTA_RB_PATHWAY	13		Rejected!	
BIOCARTA_BAD_PATHWAY	25	22		
BIOCARTA_CK1_PATHWAY	16		Rejected!	
BIOCARTA_EIF2_PATHWAY	10		Rejected!	
BIOCARTA_EIF4_PATHWAY	24	24		
BIOCARTA_STEM_PATHWAY	15		Rejected!	
BIOCARTA_P27_PATHWAY	13		Rejected!	
BIOCARTA_PGC1A_PATHWAY	15		Rejected!	
BIOCARTA_PML_PATHWAY	17	16		
BIOCARTA_DREAM_PATHWAY	13		Rejected!	
BIOCARTA_LEPTIN_PATHWAY	11		Rejected!	
BIOCARTA_RHO_PATHWAY	21	21		
BIOCARTA_AKAP13_PATHWAY	11		Rejected!	
BIOCARTA_ATRBRCA_PATHWAY	22	21		
BIOCARTA_CARDIACEGF_PATHWAY	18	15		
BIOCARTA_HER2_PATHWAY	23	20		
BIOCARTA_ERK5_PATHWAY	14		Rejected!	
BIOCARTA_MAL_PATHWAY	19	17		
BIOCARTA_MEF2D_PATHWAY	18	18		
BIOCARTA_MITOCHONDRIA_PATHWAY	19	19		
BIOCARTA_ACH_PATHWAY	14		Rejected!	
