"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sig","Gene"
"Ctsl",1.39594092154662e-30,-0.818258077635481,0.293,0.585,1.9194187671266e-26,"1","Ctsl"
"Atf3",8.30415850466101e-24,-0.836250661275738,0.88,0.933,1.14182179439089e-19,"1","Atf3"
"Gdpd3",2.70708085004152e-19,-0.847554477558858,0.254,0.455,3.72223616880709e-15,"1","Gdpd3"
"Jund",1.14860086553944e-43,-0.85067765137381,0.994,0.989,1.57932619011673e-39,"1","Jund"
"Ftl1",2.7615697948883e-90,-0.850994094690829,0.999,1,3.79715846797142e-86,"1","Ftl1"
"Zmynd15",5.39953106803089e-26,-0.86136540375791,0.1,0.324,7.42435521854248e-22,"1","Zmynd15"
"Olfml3",1.90033355435263e-45,-0.86553988361945,0.024,0.279,2.61295863723487e-41,"1","Olfml3"
"Slc11a1",1.47657641562333e-42,-0.868183378600338,0.175,0.522,2.03029257148209e-38,"1","Slc11a1"
"Adgre1",1.1529019219032e-39,-0.881942777080714,0.532,0.79,1.5852401426169e-35,"1","Adgre1"
"Tcim",5.78663257905721e-20,-0.883420200118447,0.085,0.272,7.95661979620366e-16,"1","Tcim"
"Serinc3",9.93026379736172e-39,-0.888890753824786,0.533,0.779,1.36541127213724e-34,"1","Serinc3"
"Csf1r",1.79161547418264e-53,-0.903913899216454,0.775,0.953,2.46347127700113e-49,"1","Csf1r"
"Ifi207",8.58186413065756e-25,-0.905266361240477,0.545,0.743,1.18000631796541e-20,"1","Ifi207"
"Blvrb",2.16147062215546e-35,-0.905907195144358,0.336,0.627,2.97202210546375e-31,"1","Blvrb"
"Itgb5",5.16344641932588e-34,-0.912638759464709,0.305,0.587,7.09973882657308e-30,"1","Itgb5"
"Rgs1",3.4986391211402e-06,-0.915524863624866,0.558,0.616,0.0481062879156778,"1","Rgs1"
"Klf2",9.93943140431766e-20,-0.946507510786598,0.678,0.824,1.36667181809368e-15,"1","Klf2"
"Ctsb",6.96382331759074e-63,-0.94853719240506,0.902,0.984,9.57525706168727e-59,"1","Ctsb"
"Pla2g7",3.69924917141205e-44,-0.952265548856313,0.596,0.842,5.08646761069157e-40,"1","Pla2g7"
"Fcrls",9.57396349885564e-10,-0.954087014717278,0.27,0.404,1.31641998109265e-05,"1","Fcrls"
"Stab1",6.44299250715218e-47,-0.967856513882932,0.035,0.31,8.85911469733425e-43,"1","Stab1"
"Cbr2",2.19856840733895e-26,-0.992900077857521,0.047,0.237,3.02303156009106e-22,"1","Cbr2"
"C3ar1",4.65701842992406e-47,-0.998721520501912,0.414,0.75,6.40340034114558e-43,"1","C3ar1"
"Ubc",2.49357117976394e-22,-1.03179739170614,0.915,0.949,3.42866037217542e-18,"1","Ubc"
"Folr2",7.3375628119813e-19,-1.05302610023384,0.03,0.161,1.00891488664743e-14,"1","Folr2"
"Fxyd2",2.63748363057503e-42,-1.08957020444072,0.09,0.391,3.62653999204067e-38,"1","Fxyd2"
"Glul",1.26104086388924e-26,-1.09523635180152,0.33,0.574,1.7339311878477e-22,"1","Glul"
"Fos",6.18779053925481e-35,-1.10871586088442,0.932,0.971,8.50821199147537e-31,"1","Fos"
"Itm2b",4.68512146554768e-105,-1.1223432486394,0.98,0.996,6.44204201512806e-101,"1","Itm2b"
"Aif1",1.78529706418869e-65,-1.15101159387232,0.586,0.882,2.45478346325945e-61,"1","Aif1"
"Pmepa1",4.54792147679096e-38,-1.16635468915772,0.293,0.6,6.25339203058758e-34,"1","Pmepa1"
"Igf1",3.28275282966209e-69,-1.17579910432563,0.054,0.451,4.51378514078537e-65,"1","Igf1"
"Jun",3.52265535261965e-17,-1.19137533399901,0.753,0.83,4.84365110985202e-13,"1","Jun"
"Rnase4",1.05442198960154e-62,-1.2184169494053,0.115,0.516,1.44983023570212e-58,"1","Rnase4"
"Tmem37",9.3667239583747e-78,-1.24824778954352,0.073,0.518,1.28792454427652e-73,"1","Tmem37"
"Lgmn",2.01746702799901e-87,-1.27921174399682,0.722,0.94,2.77401716349864e-83,"1","Lgmn"
"C5ar1",2.07905835205876e-60,-1.38597434318119,0.218,0.634,2.8587052340808e-56,"1","C5ar1"
"Cd81",4.83859125846596e-97,-1.40713766009629,0.753,0.953,6.65306298039069e-93,"1","Cd81"
"Igfbp4",2.58182793393348e-68,-1.41490512893323,0.058,0.449,3.55001340915853e-64,"1","Igfbp4"
"Rhob",3.60587122283344e-54,-1.41646774405886,0.24,0.636,4.95807293139599e-50,"1","Rhob"
"Cd63",6.5241244291425e-104,-1.74863588961923,0.272,0.844,8.97067109007093e-100,"1","Cd63"
"Cxcl13",6.47921407941576e-09,-2.05185509865087,0.058,0.15,8.90891935919667e-05,"1","Cxcl13"
"Mafb",4.56758738265698e-109,-2.05526733791225,0.174,0.797,6.28043265115335e-105,"1","Mafb"
"Ms4a7",2.86177919840005e-131,-2.3837844820206,0.2,0.833,3.93494639780007e-127,"1","Ms4a7"
"Selenop",2.11678823373809e-135,-2.4357480658623,0.667,0.967,2.91058382138987e-131,"1","Selenop"
"Ccl12",6.04607658395618e-28,-2.44201007897354,0.132,0.375,8.31335530293975e-24,"1","Ccl12"
"C1qb",1.34505914077425e-177,-2.78330960586819,0.689,0.998,1.8494563185646e-173,"1","C1qb"
"C1qc",6.59389558679603e-187,-2.92931083052239,0.41,0.989,9.06660643184454e-183,"1","C1qc"
"C1qa",2.56824548631135e-182,-2.93861882913626,0.547,0.998,3.5313375436781e-178,"1","C1qa"
"Pf4",3.45259282630187e-97,-3.03117107815301,0.244,0.761,4.74731513616508e-93,"1","Pf4"
"Apoe",1.02553621022612e-130,-3.04674344880338,0.687,0.987,1.41011228906092e-126,"1","Apoe"
