Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338242,---,-24.71,-39.77,50.49,-81.15
10338243,---,39.22,76.89,15.50,14.52
10338244,---,30.67,18.73,32.76,41.55
10338245,---,-32.40,-30.10,-31.60,-35.42
10338246,---,-20.06,32.57,15.99,-85.48
10338247,---,67.48,91.25,76.14,-13.06
10338248,---,-66.71,-66.12,-59.42,-73.77
10338249,---,76.20,91.80,66.00,63.69
10338250,---,79.71,79.11,79.04,80.96
10338251,---,-72.04,-66.63,-70.63,-78.94
10338252,---,-70.65,-29.52,-82.53,-90.34
10338253,---,84.12,87.91,83.66,80.43
10338254,---,-4.27,-1.41,-13.96,1.82
10338255,---,-35.87,-60.96,-52.17,-5.90
10338256,---,-62.71,-11.80,-66.36,-96.71
10338257,---,8.33,17.10,14.08,-4.63
10338258,---,61.20,72.14,49.31,58.59
10338259,---,-43.90,-77.37,-40.36,-18.29
10338260,---,-89.89,-74.59,-92.80,-96.45
10338261,---,-65.35,-83.36,-85.29,-23.49
10338262,---,-15.26,7.96,-71.17,-0.06
10338263,---,-14.43,-54.57,29.72,-13.17
10338264,---,45.95,65.58,45.15,19.40
10338265,---,45.23,39.75,44.68,50.25
10338266,---,-15.38,3.75,-36.16,-15.96
10338267,---,-36.68,-39.23,-70.69,9.31
10338268,---,-54.61,-77.45,0.61,-70.82
10338269,---,-85.68,-85.66,-93.01,-75.69
10338270,---,53.47,77.23,9.82,54.66
10338271,---,84.62,87.48,82.77,83.15
10338272,---,91.61,93.31,87.74,93.01
10338273,---,-43.38,-67.93,-38.19,-21.93
10338274,---,66.75,65.80,73.85,61.36
10338275,---,91.88,94.05,89.52,91.77
10338276,---,-69.28,-18.45,-78.41,-88.96
10338277,---,12.96,7.13,32.03,-1.32
10338278,---,-28.13,-37.69,-20.88,-26.34
10338279,---,-39.30,-38.34,-35.70,-44.22
10338280,---,60.24,58.58,56.05,65.77
10338281,---,97.96,98.62,98.62,95.18
10338282,---,-14.52,18.73,-50.65,-7.97
10338283,---,69.97,70.44,49.80,83.62
10338284,---,65.88,75.08,32.99,78.75
10338285,---,74.27,83.80,65.62,72.34
10338286,---,-88.43,-73.57,-95.52,-87.97
10338287,---,-27.83,-23.09,-46.93,-8.13
10338288,---,56.21,-1.51,83.69,60.70
10338289,---,-57.57,-0.54,-57.43,-94.27
10338290,---,-66.91,-75.32,-43.51,-77.04
10338291,---,-88.78,-80.53,-90.34,-93.65
10338292,---,-85.05,-43.20,-93.16,-92.72
10338293,---,-4.83,-41.93,26.09,7.29
10338294,---,67.72,83.47,39.27,70.18
10338295,---,98.06,97.18,98.22,98.61
10338296,---,-70.43,-88.91,-35.72,-80.66
10338297,---,-29.85,-22.33,-65.02,-3.84
10338298,---,40.71,35.25,46.59,41.02
10338299,---,61.04,51.07,61.45,68.54
10338300,---,10.30,16.50,-52.98,61.13
10338301,---,51.79,51.22,35.05,65.44
10338302,---,-57.32,-8.50,-95.58,-37.31
10338303,---,-65.41,-83.26,-39.81,-68.50
10338304,---,-16.97,-75.84,0.49,30.61
10338305,---,25.16,-24.50,85.32,-17.91
10338306,---,4.92,0.28,5.19,9.99
10338307,---,-66.50,-55.32,-80.68,-62.33
10338308,---,-46.65,-42.98,-39.19,-56.31
10338309,---,-17.06,-68.65,43.55,-25.93
10338310,---,60.36,45.91,64.68,68.20
10338311,---,97.06,95.75,97.86,97.62
10338312,---,27.11,25.70,9.04,44.55
10338313,---,-6.79,70.99,-45.04,-43.03
10338314,---,-59.16,-14.60,-65.66,-81.43
10338315,---,65.91,74.22,55.29,67.99
10338316,---,61.15,56.99,51.42,71.86
10338317,---,-10.04,-2.74,-20.63,-7.27
10338318,---,-62.72,-86.80,-54.01,-28.96
10338319,---,45.12,79.00,0.15,36.87
10338320,---,5.19,36.01,-27.62,19.03
10338321,---,-31.99,-17.00,-25.87,-51.51
10338322,---,73.21,77.51,69.92,71.90
10338323,---,19.75,25.07,-51.80,75.56
10338324,---,-86.44,-88.75,-81.45,-87.77
10338325,---,-67.98,-76.26,-67.51,-58.39
10338326,---,85.46,89.18,85.07,82.12
10338327,---,-64.00,-58.48,-66.32,-67.51
10338328,---,-79.86,-54.00,-90.67,-91.24
10338329,---,-75.88,-84.35,-72.17,-69.57
