Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338256,---,80.19,59.94,75.20,95.05
10338257,---,89.61,88.52,90.32,89.91
10338258,---,90.05,92.57,79.64,94.83
10338259,---,89.84,84.25,94.27,81.73
10338260,---,76.88,7.62,91.47,89.06
10338261,---,18.12,36.14,17.57,-1.70
10338262,---,85.60,80.14,87.95,87.79
10338263,---,96.18,95.03,95.66,97.17
10338264,---,75.06,91.24,56.10,63.39
10338265,---,94.73,94.39,97.38,90.42
10338266,---,14.29,31.42,-0.95,12.68
10338267,---,40.87,58.96,19.19,42.57
10338268,---,62.41,70.93,61.46,55.07
10338269,---,86.01,65.01,98.14,73.43
10338270,---,9.97,53.47,9.08,-24.81
10338271,---,98.83,98.01,99.12,99.24
10338272,---,68.95,69.70,39.17,86.20
10338273,---,73.18,76.82,76.62,54.56
10338274,---,83.17,88.08,82.30,76.64
10338275,---,-53.65,-45.80,-15.04,-87.17
10338276,---,62.16,46.73,73.57,64.42
10338277,---,-12.81,-20.01,-0.99,-17.85
10338278,---,91.29,80.09,94.80,93.53
10338279,---,15.80,5.56,26.09,15.38
10338280,---,22.07,25.94,12.70,29.05
10338281,---,97.04,94.55,97.54,98.41
10338282,---,-46.40,-74.84,-11.86,-46.81
10338283,---,21.57,23.27,59.96,-18.00
10338284,---,-37.44,-7.71,-57.94,-47.22
10338285,---,78.90,90.59,85.42,48.15
10338286,---,15.52,13.76,18.76,13.96
10338287,---,-19.88,-54.95,-19.98,21.48
10338288,---,92.99,89.42,82.49,98.68
10338289,---,6.14,9.47,16.11,-6.69
10338290,---,53.70,60.38,45.51,53.89
10338291,---,-3.13,-2.97,-31.48,26.33
10338292,---,42.77,49.36,38.73,37.50
10338293,---,85.00,85.13,91.87,73.66
10338294,---,66.45,85.58,57.12,44.59
10338295,---,97.68,98.41,94.90,98.81
10338296,---,75.80,33.07,92.04,77.36
10338297,---,6.68,-63.80,43.41,53.68
10338298,---,39.05,37.32,38.13,41.68
10338299,---,35.35,-1.67,29.08,63.28
10338300,---,71.14,39.51,76.55,85.28
10338301,---,70.85,19.22,70.56,90.93
10338302,---,75.18,83.69,69.84,69.59
10338303,---,84.67,65.80,77.65,96.92
10338304,---,59.02,16.14,70.95,75.80
10338305,---,51.41,49.58,56.97,48.39
10338306,---,-54.95,-42.79,-70.79,-48.60
