Probeset_ID,Gene Symbol,MF SLN,Sample_,Sample_
10338624,---,38.57,21.29,54.25
10338625,---,-33.41,28.86,-82.07
10338626,---,43.62,66.59,16.24
10338627,---,10.42,-30.17,50.25
10338628,---,44.03,79.48,-8.38
10338629,---,-12.16,-0.23,-26.04
10338630,---,76.02,93.47,-0.38
10338631,---,-7.89,-8.46,-7.39
10338632,---,97.16,99.26,89.18
10338633,---,-93.79,-51.29,-99.78
10338634,---,-45.06,-64.28,-22.70
10338635,---,-37.05,-38.97,-34.95
10338636,---,-23.79,-46.58,-3.32
10338637,---,78.26,96.42,13.15
10338638,---,66.66,93.57,-32.07
10338639,---,-94.18,-36.29,-99.77
10338640,---,-14.54,-71.60,46.16
10338641,---,69.37,22.62,90.38
10338642,---,-81.57,-84.02,-78.97
10338643,---,-59.24,-67.08,-50.86
10338644,---,-56.48,-27.46,-71.76
10338645,---,-6.55,-14.00,6.84
10338646,---,-34.20,1.69,-62.24
10338647,---,58.52,59.16,57.83
10338648,---,-41.88,11.88,-78.42
10338649,---,-57.05,-37.41,-80.80
10338650,---,-70.34,-10.64,-95.04
10338651,---,-82.74,-96.54,-46.57
10338652,---,-73.50,-94.09,-28.36
10338653,---,-39.32,-86.57,26.64
10338654,---,-81.06,-91.56,-58.72
10338655,---,-44.63,-54.89,-34.62
10338656,---,-78.96,-88.03,-65.83
10338657,---,-76.93,-24.73,-95.39
10338658,---,95.62,95.17,96.02
10338659,---,22.68,54.63,-11.46
10338660,---,-52.06,-50.67,-53.64
10338661,---,-56.15,-66.35,-43.48
10338662,---,96.92,98.51,95.20
10338663,---,-27.18,-47.08,-10.01
10338664,---,-68.84,-95.15,2.58
10338665,---,-89.69,-97.95,-51.67
10338666,---,-49.88,-21.53,-68.50
10338667,---,83.73,87.87,78.48
10338668,---,70.76,67.24,74.14
10338669,---,-75.25,-98.79,-21.30
10338670,---,-39.40,-69.72,-12.04
10338671,---,-90.96,-94.77,-85.34
10338672,---,-99.92,-100.03,-99.44
10338673,---,94.61,95.12,93.91
10338674,---,0.41,-30.24,7.94
10338675,---,-98.51,-94.67,-99.69
10338676,---,64.46,79.75,41.11
10338677,---,14.33,-18.74,50.87
10338678,---,-60.22,-62.90,-58.29
10338679,---,-76.31,-98.88,-13.99
10338680,---,-33.73,-57.92,-7.77
10338681,---,-51.48,-60.54,-37.86
10338682,---,-73.54,-98.23,-3.89
10338683,---,-54.23,-43.82,-61.25
10338684,---,59.29,65.99,51.97
10338685,---,-23.58,40.69,-80.98
10338686,---,-34.01,-29.25,-39.20
10338687,---,-94.43,-70.38,-99.06
10338688,---,97.62,99.17,93.25
10338689,---,98.03,99.13,94.21
10338690,---,-83.00,-93.56,-66.27
10338691,---,-71.30,-36.49,-92.69
10338692,---,-22.71,-97.48,76.98
10338693,---,-14.42,-68.27,44.48
10338694,---,31.31,66.22,-13.19
10338695,---,-65.98,-72.22,-58.77
10338696,---,-30.03,27.69,-85.29
10338697,---,35.34,-17.00,73.02
10338698,---,-7.47,-32.19,25.88
10338699,---,-31.02,-54.36,-17.39
10338700,---,-58.00,-32.94,-77.26
10338701,---,-64.75,-39.71,-81.15
10338702,---,67.35,87.10,31.52
10338703,---,76.83,52.14,88.17
10338704,---,-76.30,-74.87,-77.93
10338705,---,22.73,32.18,13.25
10338706,---,26.54,24.02,28.51
10338707,---,-90.90,-71.40,-97.70
10338708,---,-79.23,-91.30,-53.52
10338709,---,0.17,-48.90,30.40
10338710,---,23.23,-4.20,48.12
10338711,---,-82.49,-37.00,-97.89
10338712,---,-68.95,-60.62,-75.46
10338713,---,-96.18,-91.48,-98.16
10338714,---,46.86,69.08,15.24
10338715,---,-46.49,-79.85,-5.92
10338716,---,-67.44,-91.42,-25.82
10338717,---,-57.83,-55.67,-60.02
10338718,---,95.49,99.07,75.46
10338719,---,-86.36,-80.75,-90.66
10338720,---,-2.98,-28.91,18.06
10338721,---,82.48,32.90,95.70
10338722,---,75.33,98.37,-19.09
10338723,---,77.98,90.54,54.28
10338724,---,98.87,99.43,97.99
10338725,---,-45.32,-56.67,-33.30
10338726,---,-73.29,-23.01,-97.41
10338727,---,-61.36,-86.51,-23.12
10338728,---,-73.19,-85.93,-45.63
10338729,---,70.22,93.33,-1.53
10338730,---,-59.33,-70.02,-40.71
10338731,---,69.76,87.11,31.28
10338732,---,-94.00,-89.42,-98.31
